Tarih,Fon Kodu,Fon Adı,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
3/22/2024,YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"12,33","1089462358,00",101727,"13.434.473.329,00"
2/1/2024,IEZ,INVEO PORTFÖY ELMA HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),"0,26552","283336571,00",1,"75231401,26"
2/1/2024,IFG,INVEO PORTFÖY GEDİK YATIRIM BURSA HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),"0,002441","283538699,00",2,"692053,76"
2/1/2024,IFN,ICBC TURKEY PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"5,545184","2389956,00",732,"13252745,38"
2/1/2024,IHA,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),"1,853571","7748647,00",952,"14362666,21"
2/1/2024,IHE,INVEO PORTFÖY BEYAZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),"1,976763","119821586,00",1,"236858898,72"
3/25/2024,YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"12,17","1091838248,00",102818,"13.282.292.348,44"
2/1/2024,IHT,İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),"2,556362","70675564,00",7390,"180672334,51"
2/1/2024,IHY,İSTANBUL PORTFÖY GMS HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),"1,821279","47431807,00",1,"86386563,60"
2/1/2024,IHZ,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),"1,12296","1140679,00",43,"1280937,02"
3/26/2024,YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"11,98","1093021287,00",104751,"13.094.026.592,98"
2/1/2024,IJI,İSTANBUL PORTFÖY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON ),"4,432049","20153483,00",63,"89321214,57"
2/1/2024,IVF,İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),"3,087804","24788882,00",872,"76543220,59"
2/1/2024,IV5,INVEO PORTFÖY ŞAHİNKAYA 1 HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),"0,001031","367350922,00",2,"378603,58"
2/1/2024,KCN,QİNVEST PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),0,"0,00",0,"0,00"
2/1/2024,KHA,A1 PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0,"0,00",0,"0,00"
2/1/2024,KHC,A1 PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0,"0,00",0,"0,00"
2/1/2024,KHT,ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),"1,88915","64976361,00",223,"122750111,28"
3/21/2024,YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),"12,00","1090152137,00",100878,"13.079.892.991,30"
2/1/2024,KPU,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),"2,099396","353408519,00",8647,"741944480,74"
2/1/2024,KST,ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),"1,197255","12523985,00",258,"14994403,13"
